Physics,Sections,CFG,Average FID,Maximum FID,Minimum FID,Max Subdirectory,Min Subdirectory,Variance of FID
nophys,sec25,2,116.01466418393844,198.27738465826832,73.80803872141021,8,19,2442.9686846635886
nophys,sec18plus7,5,109.27075402501546,176.08019153267438,67.28720945450587,8,19,1690.5107796199136
nophys,sec25,8,114.12772343696656,173.0618206523771,65.55532975813574,8,19,1613.583323121995
nophys,sec18plus7,4,111.55931572429228,183.46337736999385,65.45317258011245,8,19,1982.146523894151
nophys,sec25,1,113.30429335882806,198.07268846752592,77.10297611028923,8,11,2496.514118584495
nophys,sec18plus7,3,114.59868860483076,199.46850001962176,67.61351578351677,8,19,2587.999510294805
nophys,sec18plus7,7,109.37294439534888,178.6442706614761,65.39907737871346,8,19,1781.2965407532138
nophys,sec25,7,114.66533266849872,170.913658826656,62.77242420406929,8,19,1602.5590293810635
nophys,sec25,3,118.78673751896947,181.82921854738143,64.10380093843936,8,19,1822.2821065343123
nophys,sec25,6,111.47310961997523,178.8615337655692,59.50788083455747,8,19,1905.6290010726332
nophys,sec18plus7,8,103.56893556854511,163.35930441060373,69.32110318995112,8,19,1274.874570218728
nophys,sec25,4,115.36897883968588,183.1677858235146,62.8930754150776,8,19,1962.625043961092
nophys,sec25,5,117.65698071731605,180.84445717788105,60.47394480379049,8,19,1867.1321849585256
nophys,sec18plus7,2,112.67750378384711,201.23361051384535,66.24296347102796,8,19,2835.1306530696547
nophys,sec18plus7,1,110.47039075060584,213.4397542836504,68.37230248143794,8,11,3578.600235929209
nophys,sec18plus7,6,112.58288913711252,179.32850890101074,66.77949145134392,8,19,1857.3128031011288
nophys,sec9plus6,3,113.94467358640756,187.34637149109636,67.53967633291799,8,19,2062.198565675588
nophys,sec9plus6,2,112.22562683074176,193.1509013828245,68.41865364295113,8,19,2340.94065025296
nophys,sec20,5,115.81236841244367,190.9003532932244,76.3793094469969,8,19,2012.2658683608352
nophys,sec9plus6,5,108.88640724978772,185.8915612348666,65.76426084082797,8,19,2099.744410166675
nophys,secincr20,7,113.95471241771976,172.40606266222267,74.61432224809171,8,19,1458.11162045498
nophys,sec20,6,114.37911931174494,201.26761041554835,71.58429947302744,8,19,2560.1784808944067
nophys,sec15,4,118.28907662544054,193.5560306945819,60.34454755921547,8,19,2380.4240232625634
nophys,secincr20,4,116.04275154028942,187.12843647246575,70.42891512998973,8,19,2027.2197600532709
nophys,sec20,4,115.1037078365875,199.68015828979225,64.49141004733168,8,19,2599.5671947610026
nophys,secincr20,1,110.94290905015283,203.20392585163805,70.74709146884015,8,11,3022.5608873058536
nophys,sec15,8,106.51402930992997,186.39316435783303,67.69582819777526,8,19,2250.097327774238
nophys,sec15,6,109.90900276911069,181.48887263929024,60.73658195303894,8,19,1954.29898811388
nophys,secincr20,3,113.74168060197732,184.41002220811015,67.79889347653484,8,19,2071.6892726002025
nophys,sec9plus6,8,102.77969749977694,172.57654468771108,71.41780285442584,8,21,1673.7317538964944
nophys,sec15,7,105.63587940689702,176.19426558656914,59.2284251132138,8,19,1902.3512249533123
nophys,sec20,8,113.33264772055986,195.98196270936475,78.24911802669801,8,19,2306.94800713909
nophys,sec15,5,114.64945918324558,192.95038846689357,61.91043208550259,8,19,2367.292079478488
nophys,sec20,1,115.05680533177292,209.20896060472435,71.34832984401604,8,11,3254.148201472992
nophys,sec9plus6,1,110.84557791519224,211.0800877817356,67.94206417597647,8,3,3428.4041011017653
nophys,sec20,3,119.10227376611036,195.0947816361366,71.42899269164516,8,19,2215.000427361374
nophys,secincr20,5,114.14436750191597,175.88836544957192,63.95670202575468,8,19,1762.4458015768032
nophys,sec20,7,114.44580007788548,192.5396817541369,83.47374691865224,8,19,2026.207651080964
nophys,secincr20,8,108.34233886643142,167.82996009200514,71.58239897061958,8,19,1356.5512718405537
nophys,sec9plus6,7,104.38118388215506,179.92486425583618,66.84395723435122,8,19,2000.481972431704
nophys,sec9plus6,4,109.73734420031644,181.56222920508424,65.25342345388614,8,19,1929.5168428607285
nophys,sec15,2,114.68764732365008,195.1799471416068,73.16864759285842,8,19,2284.086460002265
nophys,secincr20,6,111.59909165142372,172.83788023545284,65.60771011098288,8,19,1601.2399628206222
nophys,secincr20,2,115.76578155512838,193.86383924793583,76.2326881997815,8,19,2296.879316300103
nophys,sec9plus6,6,107.25424454713318,176.93325742555874,66.5505006173527,8,19,1805.0396139278184
nophys,sec15,1,107.37153424388028,199.511426109929,72.90925610536473,8,11,2779.4657005339413
nophys,sec20,2,118.68332386709828,213.3591803818184,73.24062278150555,8,19,3115.282380092136
nophys,sec15,3,114.6253132462358,188.89461924622745,69.41619018261646,8,19,2015.0917304931827
